,team1,team2,elo1,elo2
0,103461966965149786,98767991926151025,1476.0,1524.0
1,99566405123587075,103461966981927044,1484.0,1516.0
2,99566405124618295,103461966981927044,1484.736306793522,1531.263693206478
3,99566405126602853,103461966981927044,1485.4358728782763,1545.8278203282016
4,99566405127798575,103461966981927044,1486.0982942088476,1559.729526119354
5,99566405128626825,103461966981927044,1486.7238645358739,1573.00566158348
6,99566405129589291,103461966981927044,1487.313411737879,1585.692249845601
7,99566405130451785,103461966981927044,1487.8681539274587,1597.8240959181423
8,99566405124618295,99566405123587075,1468.7023986633528,1500.0339081301693
9,99566405126602853,99566405123587075,1470.1077419220667,1515.362039086379
10,99566405127798575,99566405123587075,1471.4427616021217,1530.0175716931049
11,99566405128626825,99566405123587075,1472.7073578249526,1544.034078404026
12,99566405129589291,99566405123587075,1473.9025337501746,1557.4449563917306
13,99566405130451785,99566405123587075,1475.030128113348,1570.2829822058413
14,99566405126602853,99566405124618295,1454.0430238262613,1484.7671167591582
15,99566405127798575,99566405124618295,1456.056070184809,1500.1538081764709
16,99566405128626825,99566405124618295,1457.9686908551837,1514.8924751462398
17,99566405129589291,99566405124618295,1459.7814807424022,1529.0135281540122
18,99566405130451785,99566405124618295,1461.4963410513042,1542.5473152160562
19,99566405127798575,99566405126602853,1439.9633670114395,1470.1357269996308
20,99566405128626825,99566405126602853,1442.5287746385663,1485.5756432162482
21,99566405129589291,99566405126602853,1444.9671681943043,1500.389955764346
22,99566405130451785,99566405126602853,1447.280013634846,1514.6062831808042
23,99566405128626825,99566405127798575,1426.41063539839,1456.0815062516158
24,99566405129589291,99566405127798575,1429.4788278554024,1471.5698465905177
25,99566405130451785,99566405127798575,1432.3967829122998,1486.453077313064
26,99566405130451785,103461966975897718,1419.4713225110372,1512.9254604012626
27,99566405129589291,99566405128626825,1413.3375360440316,1442.5519272097608
28,99566405129589291,103461966975897718,1401.8021226108701,1524.460873834424
29,99566405127798575,103461966975897718,1472.1964520629695,1538.7174990845185
30,99566405129589291,99566405124618295,1391.950952695682,1552.3984851312443
31,99566405124618295,99566405130451785,1530.5591400844369,1441.3106675578447
32,99566405126602853,99566405127798575,1528.662880899811,1458.1398543439627
33,99566405128626825,99566405126602853,1462.4382308748407,1508.7765772347311
34,99566405129589291,99566405126602853,1413.136976742027,1487.5905531883864
35,99566405126602853,99566405130451785,1469.4718021519361,1459.429418594295
36,99566405127798575,99566405128626825,1474.3377917998107,1446.2402934189927
37,99566405127798575,99566405129589291,1487.5481833916951,1399.9265851501425
38,99566405127798575,99566405130451785,1470.2560862829162,1476.721515703074
39,99566405129589291,99566405128626825,1418.046866443687,1428.1200121254483
40,99566405130451785,99566405128626825,1490.4978194392584,1414.3437083892638
41,99566405130451785,99566405129589291,1503.2088655188631,1405.335820364082
42,103461966975897718,103461966971048042,1520.9418365835347,1517.7756625009838
43,103461966981927044,103461966971048042,1578.2016014967785,1537.3981569223477
44,99566405123587075,103461966971048042,1552.773086221205,1554.908052906984
45,99566405124618295,103461966971048042,1515.6786168033773,1569.7885761880436
46,99566405126602853,103461966971048042,1457.9673219325875,1581.2930564073922
47,99566405127798575,103461966971048042,1459.2022659876338,1592.3468767026745
48,99566405128626825,103461966971048042,1405.8919000344272,1600.7986850575112
49,99566405129589291,103461966971048042,1397.4941342018235,1608.6403712197698
50,99566405130451785,103461966971048042,1491.920423532539,1619.928813206094
51,103461966981927044,103461966975897718,1559.588309278748,1539.5551288015652
52,99566405123587075,103461966975897718,1536.1646702932808,1556.1635447294893
53,99566405124618295,103461966975897718,1501.534623894895,1570.3075376379716
54,99566405126602853,103461966975897718,1446.9677196833154,1581.3071398872437
55,99566405128626825,103461966975897718,1397.3471124542318,1589.851927467439
56,99566405124618295,99566405128626825,1512.8754412575843,1386.0062950915426
57,99566405130451785,99566405128626825,1471.188575503149,1406.7381431209326
58,103461966975897718,103461966971048042,1575.2335695960103,1634.5471710775228
59,99566405126602853,99566405124618295,1433.9669919633257,1525.876168977574
60,99566405127798575,99566405124618295,1446.235568253243,1538.842866711965
61,99566405128626825,99566405124618295,1396.5446298526365,1549.036379980261
62,99566405129589291,99566405124618295,1388.0616185353128,1558.4688956467717
63,99566405130451785,99566405124618295,1459.1255118074662,1570.5319593424545
64,99566405127798575,99566405126602853,1429.6708141511992,1450.5317460653694
65,99566405128626825,99566405126602853,1383.0110098604093,1464.0653660575965
66,99566405129589291,99566405126602853,1375.5069371653447,1476.6200474275647
67,99566405130451785,99566405126602853,1443.9304847362519,1491.815074498779
68,99566405128626825,99566405127798575,1369.1469475016206,1443.534876509988
69,99566405129589291,99566405127798575,1362.6003092912656,1456.441504384067
70,99566405130451785,99566405127798575,1428.5063895808262,1471.8655995394927
71,99566405129589291,99566405128626825,1346.9017574468862,1384.845499346
72,99566405130451785,99566405128626825,1410.506248939602,1402.845639987224
73,99566405130451785,99566405129589291,1391.6094430239157,1365.7985633625726
74,103461966971048042,99566405124618295,1647.63207471736,1557.4470557026173
75,99566405124618295,103461966971048042,1545.5093985770698,1659.5697318429075
76,99566405124618295,103461966971048042,1529.1170446953033,1675.962085724674
77,103461966971048042,99566405124618295,1642.3821514344745,1562.6969789855027
78,99566405124618295,103461966971048042,1544.1069080777609,1660.9722223422164
79,99566405127798575,99566405128626825,1484.728275194285,1389.9829643324317
80,99566405128626825,99566405127798575,1378.2411147207508,1496.470124805966
81,99566405128626825,99566405127798575,1362.1067947432075,1512.6044447835093
82,99566405127798575,99566405128626825,1478.8132928848868,1395.89794664183
83,99566405128626825,99566405127798575,1377.519221563442,1497.1920179632748
84,99566405130451785,99566405123587075,1381.907185042525,1545.8669282746714
85,99566405130451785,99566405129589291,1365.1658867012693,1382.5398617038284
86,99566405129589291,99566405123587075,1373.5522540796019,1554.854535898898
87,99566405127798575,99566405123587075,1483.8233594284602,1568.2231944337125
88,103461966981927044,103461966971048042,1548.129053860481,1672.4314777604836
89,99566405123587075,103461966971048042,1556.8832525214966,1683.7714196726995
90,99566405124618295,103461966971048042,1534.2132703508291,1693.6650573996312
91,99566405126602853,103461966971048042,1484.1890069741667,1701.2911249242436
92,99566405127798575,103461966971048042,1476.7071703483725,1708.4073140043313
93,99566405128626825,103461966971048042,1373.3729054342837,1712.5536301334896
94,99566405129589291,103461966971048042,1369.5715990853867,1716.5342851277048
95,99566405130451785,103461966971048042,1361.4268025775075,1720.2733692514666
96,103461966981927044,103461966975897718,1533.3747368712664,1589.987886585225
97,99566405123587075,103461966975897718,1542.4031803286175,1604.467958778104
98,99566405124618295,103461966975897718,1521.4052315270221,1617.275997601911
99,99566405126602853,103461966975897718,1474.0347309383942,1627.4302736376835
100,99566405127798575,103461966975897718,1467.2432571474658,1636.8941868385903
101,99566405128626825,103461966975897718,1367.615752720574,1642.6513395523
102,99566405129589291,103461966975897718,1364.069670855914,1648.1532677817727
