,id,name,slug,sport,image,lightImage,darkImage,region,priority,displayPriority,tournament_id
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",110303581083678395
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",109517090066605615
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",108206581962155974
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",107458367237283414
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",107458335260330212
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",105658534671026792
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",105788932118361426
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",109428868589633757
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",105522217230238828
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",104174992692075107
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",103462439438682788
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",108300620375000370
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",108294935083112239
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",108288780705657082
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",108283378783680768
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",108007809203463350
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",107784927885285215
0,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1,"{'position': 0, 'status': 'selected'}",107744640257699883
